city,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed,Country,Date
sananduva,27.9769,-114.0611,62.76,95.0,85.0,12.19,MX,1622954324.0
xingyi,5.6639,-67.6236,74.32,34.0,90.0,3.87,VE,1622954599.0
vao,8.6226,-70.2075,78.84,100.0,83.0,2.3,VE,1622954599.0
thompson,-25.3667,-57.6167,71.19,90.0,100.0,7.9,PY,1622954600.0
gwadar,28.6453,70.6567,99.59,1.0,34.0,15.59,PK,1622954600.0
aykhal,41.0866,31.1162,61.03,0.0,61.0,4.27,TR,1622954600.0
fare,-29.9533,-71.3436,56.93,90.0,88.0,0.74,CL,1622954328.0
zanjan,-34.4833,-54.3333,47.05,52.0,92.0,5.14,UY,1622954350.0
naryan-mar,36.6777,-121.6555,59.04,75.0,78.0,11.5,US,1622954601.0
san carlos de bariloche,36.5167,-86.8667,76.98,90.0,89.0,0.0,US,1622954601.0
mys shmidta,-10.4544,161.9205,83.26,93.0,77.0,8.05,SB,1622954601.0
faanui,66.7131,27.4306,58.05,14.0,51.0,7.02,FI,1622954601.0
palmer,-36.3132,-57.6792,42.91,4.0,66.0,6.11,AR,1622954602.0
codrington,-14.8031,36.5372,59.23,53.0,84.0,7.31,MZ,1622954534.0
leningradskiy,-33.4833,150.15,58.57,1.0,47.0,2.08,AU,1622954602.0
polunochnoye,-31.0833,152.8333,64.94,0.0,41.0,1.99,AU,1622954602.0
tukrah,-26.6481,15.1594,69.62,0.0,32.0,27.54,NA,1622954343.0
tual,66.1451,-65.7125,24.53,65.0,93.0,4.97,CA,1622954398.0
nuevo progreso,32.6881,128.8419,73.76,75.0,78.0,6.91,JP,1622954603.0
nabire,35.174,-2.9287,62.67,0.0,94.0,2.66,MA,1622954603.0
vila do maio,-33.295,-66.3356,50.65,58.0,56.0,6.91,AR,1622954450.0
cam ranh,-37.8333,140.7667,62.51,75.0,72.0,19.57,AU,1622954367.0
